Event ID,Event name,Description,Tags,Location,Start date,End date,Registration limit
EVT001,Welcome Coffee,Monthly new member welcome gathering,Social,Handlebar Coffee,01/15/2024 09:00,01/15/2024 11:00,30
EVT002,Wine Tasting Tour,Visit local Santa Barbara wineries,Dining,Foxen Winery,02/10/2024 13:00,02/10/2024 17:00,24
EVT003,Hiking at Inspiration Point,Moderate 4-mile hike with ocean views,Outdoor,Inspiration Point Trailhead,02/24/2024 08:00,02/24/2024 12:00,20
EVT004,Museum Visit,Guided tour of SBMA,Cultural,Santa Barbara Museum of Art,03/05/2024 10:00,03/05/2024 12:00,15
EVT005,Book Club Meeting,Discussion of March selection,Educational,Member Home,03/15/2024 14:00,03/15/2024 16:00,12
EVT006,Spring Luncheon,"Annual spring celebration, casual dress",Social,Santa Barbara Yacht Club,04/12/2024 11:30,04/12/2024 14:00,60
EVT007,Beach Cleanup,Volunteer event at East Beach,Volunteer,East Beach,04/20/2024 09:00,04/20/2024 11:00,25
EVT008,Golf Tournament,Friendly competition at Sandpiper,Sports,Sandpiper Golf Course,05/04/2024 07:30,05/04/2024 14:00,40
EVT009,Board Meeting,Monthly board meeting - officers only,Board,Community Center,05/10/2024 09:00,05/10/2024 11:00,12
EVT010,Garden Tour,Visit member gardens in Montecito,Cultural,Various Locations,05/18/2024 10:00,05/18/2024 15:00,30
